desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Name[zh_CN],GenericName[zh_CN],Comment[zh_CN],Categories,,,,,,Name[en_US],GenericName[en_US],Comment[en_US],Categories
librecad.desktop,2D製圖_LibreCAD,電腦輔助設計軟體,2D製圖_LibreCAD,2D制图_LibreCAD,计算机辅助设计软件,2D制图_LibreCAD,Graphics,,,,,,2D Drafting _LibreCAD,Computer-aided design software,2D Drafting _LibreCAD,Graphics
fritzing.desktop,電路設計_Fritzing,是一套設計PCB (Printed Circuit Board) 印刷電路板的軟體，是特別給設計師、藝術家、研究者以及業餘玩家使用的工具,電路設計_Fritzing,电路设计_Fritzing,是一套设计PCB(PrintedCircuitBoard)印刷电路板的软件，是特别给设计师、艺术家、研究者以及业余玩家使用的工具,电路设计_Fritzing,Graphics,,,,,,Circuit Design _Fritzing,"Is a set design PCB (PrintedCircuitBoard) printed circuit board software, is a tool especially for designers, artists, researchers and amateurs use",Circuit Design _Fritzing,Graphics
shutter.desktop,影像擷取_Shutter,可截取網頁和編輯截取圖片的軟體,影像擷取_Shutter,影像撷取_Shutter,可截取网页和编辑截取图片的软件,影像撷取_Shutter,Graphics,,,,,,Image capture _Shutter,Intercept interception pages and edit pictures software,Image capture _Shutter,Graphics
#影音,,,,,,,,,,,,,,,,
qstopmotion.desktop,影片動畫_qStopMotion,影片動畫製作軟體,影片動畫_qStopMotion,影片动画_qStopMotion,影片动画制作软件,影片动画_qStopMotion,AudioVideo,,,,,,Video animation _qStopMotion,Video animation software,Video animation _qStopMotion,AudioVideo
avidemux2.6-qt.desktop,影片編輯_Avidemux(Qt),影片編輯程式,影片編輯_Avidemux(Qt),影片编辑_Avidemux(Qt),影片编辑器,影片编辑_Avidemux(Qt),AudioVideo,,,,,,Video editing _Avidemux (Qt),Video Editor,Video editing _Avidemux (Qt),AudioVideo
avidemux2.6-jobs.desktop,影片編輯_Avidemux(Jobs),影片編輯程式,影片編輯_Avidemux(Jobs),影片编辑_Avidemux(Jobs),影片编辑器,影片编辑_Avidemux(Jobs),AudioVideo,,,,,,Video editing _Avidemux (Jobs),Video Editor,Video editing _Avidemux (Jobs),AudioVideo
avidemux2.6-gtk.desktop,影片編輯_Avidemux(Gtk),影片編輯程式,影片編輯_Avidemux(Gtk),影片编辑_Avidemux(Gtk),影片编辑器,影片编辑_Avidemux(Gtk),AudioVideo,,,,,,Video editing _Avidemux (Gtk),Video Editor,Video editing _Avidemux (Gtk),AudioVideo
ffDiaporama.desktop,投影片秀_ffDiaporama,投影片、圖片與影片展示軟體,投影片秀_ffDiaporama,投影片秀_ffDiaporama,投影片、图片与影片展示软件,投影片秀_ffDiaporama,AudioVideo,,,,,,Slide show _ffDiaporama,"Slides, pictures and video presentation software",Slide show _ffDiaporama,AudioVideo
xbmc.desktop,多媒體中心_XBMC,一套超炫的多媒體播放中心，不論圖片影片皆可播放,多媒體中心_XBMC,多媒体中心_XBMC,一套超炫的多媒体播放中心，不论图片影片皆可播放,多媒体中心_XBMC,AudioVideo,,,,,,Media Center _XBMC,"A stunning multimedia player center, regardless of the video image playback Jieke",Media Center _XBMC,AudioVideo
vlc.desktop,影音播放_VLC,可以用於網路串流及各種多媒體檔案之播放,影音播放_VLC,影音播放_VLC,可以用于网络流及各种多媒体文件之播放,影音播放_VLC,AudioVideo,,,,,,Video player _VLC,The network can be used to play all kinds of multimedia files and streams,Video player _VLC,AudioVideo
smplayer.desktop,影音播放_SMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_SMPlayer,影音播放_SMPlayer,以MPlayer为基础的多媒体播放器，具完整的用户界面,影音播放_SMPlayer,AudioVideo,,,,,,Video player _SMPlayer,"In MPlayer -based media player, with the complete user interface",Video player _SMPlayer,AudioVideo
umplayer.desktop,影音播放_UMPlayer,以 MPlayer 為基礎的多媒體播放器，具完整的使用者介面,影音播放_UMPlayer,影音播放_UMPlayer,以MPlayer为基础的多媒体播放器，具完整的用户界面,影音播放_UMPlayer,AudioVideo,,,,,,Video player _UMPlayer,"In MPlayer -based media player, with the complete user interface",Video player _UMPlayer,AudioVideo
# gnome-mplayer.desktop: 20141107 added by Franklin:,,,,,,,,,,,,,,,,
gnome-mplayer.desktop,影音播放_GnomeMplayer,以 MPlayer 為基礎的多媒體播放器,影音播放_GnomeMplayer,影音播放_GnomeMplayer,以Mplayer为基础的多媒体播放器,影音播放_GnomeMplayer,AudioVideo,,,,,,Video player _GnomeMplayer,In Mplayer -based multimedia player,Video player _GnomeMplayer,AudioVideo
dragonplayer.desktop,影音播放_DragonPlayer,可以用於網路串流及各種多媒體檔案之播放,影音播放_DragonPlayer,影音播放_DragonPlayer,可以用于网络流及各种多媒体文件之播放,影音播放_DragonPlayer,AudioVideo,,,,,,Video player _DragonPlayer,The network can be used to play all kinds of multimedia files and streams,Video player _DragonPlayer,AudioVideo
org.kde.dragonplayer.desktop,影音播放_DragonPlayer,可以用於網路串流及各種多媒體檔案之播放,影音播放_DragonPlayer,影音播放_DragonPlayer,可以用于网络流及各种多媒体文件之播放,影音播放_DragonPlayer,AudioVideo,,,,,,Video player _DragonPlayer,The network can be used to play all kinds of multimedia files and streams,Video player _DragonPlayer,AudioVideo
totem.desktop,影音播放_Totem,可以用於網路串流及各種多媒體檔案之播放,影音播放_Totem,影音播放_Totem,可以用于网络流及各种多媒体文件之播放,影音播放_Totem,AudioVideo,,,,,,Video player _Totem,The network can be used to play all kinds of multimedia files and streams,Video player _Totem,AudioVideo
xine.desktop,影音播放_xine,影音播放軟體,影音播放_xine,影音播放_xine,影音播放软件,影音播放_xine,AudioVideo,,,,,,Video player _xine,Audio and video playback software,Video player _xine,AudioVideo
Kino.desktop,影片編輯_Kino,簡單易用的影片編輯軟體,影片編輯_Kino,影片编辑_Kino,简单易用的影片编辑软件,影片编辑_Kino,AudioVideo,,,,,,Video Editing _Kino,Easy to use video editing software,Video Editing _Kino,AudioVideo
pitivi.desktop,影片編輯_Pitivi,簡單易用的影片編輯軟體,影片編輯_Pitivi,影片编辑_Pitivi,简单易用的影片编辑软件,影片编辑_Pitivi,AudioVideo,,,,,,Video Editing _Pitivi,Easy to use video editing software,Video Editing _Pitivi,AudioVideo
openshot.desktop,影片編輯_OpenShot,OpenShot 是 Linux 下常用的非線性影片剪輯軟體,影片編輯_OpenShot,影片编辑_OpenShot,OpenShot是Linux下常用的非线性影片剪辑软件,影片编辑_OpenShot,AudioVideo,,,,,,Video Editing _OpenShot,OpenShot is commonly used under Linux non-linear video editing software,Video Editing _OpenShot,AudioVideo
kdenlive.desktop,影片編輯_Kdenlive,Kdenlive 是 Linux 下非常專業完整的非線性影片編輯軟體,影片編輯_Kdenlive,影片编辑_Kdenlive,Kdenlive是Linux下非常专业完整的非线性影片编辑软件,影片编辑_Kdenlive,AudioVideo,,,,,,Video Editing _Kdenlive,Kdenlive under Linux is very professional complete non-linear video editing software,Video Editing _Kdenlive,AudioVideo
kazam.desktop,桌面錄製_Kazam,一款簡易的桌面畫面錄製工具,桌面錄製_Kazam,桌面录制_Kazam,一款简易的桌面画面录制工具,桌面录制_Kazam,AudioVideo,,,,,,Desktop recording _Kazam,A simple desktop screen recording tool,Desktop recording _Kazam,AudioVideo
cheese.desktop,視訊擷取_Cheese,透過 Cheese 可以從網路攝影機擷取相片與影片，並加入有趣的影像特效,視訊擷取_Cheese,视频撷取_Cheese,通过Cheese可以从网络摄影机捕获相片与影片，并加入有趣的影像特效,视频撷取_Cheese,AudioVideo,,,,,,Video capture _Cheese,"You can capture photos and videos from the network cameras by Cheese, and add interesting video effects",Video capture _Cheese,AudioVideo
guvcview.desktop,影像擷取_guvcview,webcam管理程式,影像擷取_guvcview,影像撷取_guvcview,webcam管理程序,影像撷取_guvcview,AudioVideo,,,,,,Image capture _guvcview,webcam manager,Image capture _guvcview,AudioVideo
imagination.desktop,投影片秀_Imagination,Imagination 可以將相片或圖片輕易的轉成具豐富轉場效果的多媒體投影片秀 ,投影片秀_Imagination,投影片秀_Imagination,Imagination可以将相片或图片轻易的转成具丰富转场效果的多媒体投影片秀,投影片秀_Imagination,AudioVideo,,,,,,Slide show _Imagination,Imagination multimedia slide show photos or pictures can easily turn into a rich transition effect,Slide show _Imagination,AudioVideo
photofilmstrip.desktop,投影片秀_Photo Film Strip,讓你輕鬆製作出圖片跑馬燈及多媒體投影片秀的軟體,投影片秀_Photo Film Strip,投影片秀_PhotoFilmStrip,让你轻松制作出图片跑马灯及多媒体投影片秀的软件,投影片秀_PhotoFilmStrip,AudioVideo,,,,,,Slide show _Photo Film Strip,"Lets you easily create image slide show, ticker and multimedia software",Slide show _PhotoFilmStrip,AudioVideo
k3b.desktop,光碟燒錄_K3b,Linux 下常用的光碟燒錄工具 ,光碟燒錄_K3b,光盘刻录_K3b,Linux下常用的光盘烧录工具,光盘烧录_K3b,AudioVideo,,,,,,CD writers _K3b,Linux under the commonly used CD burning tool,CD burning _K3b,AudioVideo
# xfburn.desktop: 20141107 added by Franklin,,,,,,,,,,,,,,,,
xfburn.desktop,光碟燒錄_Xfburn,光碟燒錄工具,光碟燒錄_Xfburn,光盘刻录_Xfburn,光盘烧录工具,光盘烧录_Xfburn,AudioVideo,,,,,,CD writers _Xfburn,CD burning tool,CD burning _Xfburn,AudioVideo
brasero.desktop,光碟燒錄_Brasero,Linux 下常用的光碟燒錄工具,光碟燒錄_Brasero,光盘刻录_Brasero,Linux下常用的光盘烧录工具,光盘烧录_Brasero,AudioVideo,,,,,,CD writers _Brasero,Linux under the commonly used CD burning tool,CD burning _Brasero,AudioVideo
acidrip.desktop,光碟擷取_AcidRip,AcidRip 可以輕易的將一般的影片轉成 avi 或 mpeg 檔,光碟擷取_AcidRip,光盘撷取_AcidRip,AcidRip可以轻易的将一般的影片转成avi或mpeg檔,光盘撷取_AcidRip,AudioVideo,,,,,,DVD capture _AcidRip,AcidRip can easily be converted into general video avi or mpeg files,CD capture _AcidRip,AudioVideo
dvdstyler.desktop,光碟製作_DVDstyler,DVD 光碟及選單製作工具,光碟製作_DVDstyler,光盘制作_DVDstyler,DVD光盘及选单制作工具,光盘制作_DVDstyler,AudioVideo,,,,,,DVD production _DVDstyler,DVD disc menus and authoring tools,CD-ROM production _DVDstyler,AudioVideo
dvdisaster.desktop,光碟修復_dvdisaster,對於刮傷或老化的光碟，提供了更好的存取與修復效果,光碟修復_dvdisaster,光盘修复_dvdisaster,对于刮伤或老化的光盘，提供了更好的访问与修复效果,光盘修复_dvdisaster,AudioVideo,,,,,,Disc Repair _dvdisaster,For scratches or aging discs provide better access and repair effect,Disc repair _dvdisaster,AudioVideo
audacious.desktop,音樂播放_Audacious,類似 Winamp 的音樂播放器,音樂播放_Audacious,音乐播放_Audacious,类似Winamp的音乐播放器,音乐播放_Audacious,AudioVideo,,,,,,Music Player _Audacious,Similar Winamp music player,Music Player _Audacious,AudioVideo
amarok.desktop,音樂播放_Amarok,Amarok 一套功能強大的音樂播放與專輯管理軟體,音樂播放_Amarok,音乐播放_Amarok,Amarok一套功能强大的音乐播放与专辑管理软件,音乐播放_Amarok,AudioVideo,,,,,,Music Player _Amarok,Amarok is a powerful music player and album management software,Music Player _Amarok,AudioVideo
rhythmbox.desktop,音樂播放_Rhythmbox,播放及管理音樂庫,音樂播放_Rhythmbox,音乐播放_Rhythmbox,播放及管理音乐库,音乐播放_Rhythmbox,AudioVideo,,,,,,Music Player _Rhythmbox,Play and manage music library,Music Player _Rhythmbox,AudioVideo
audacity.desktop,音樂編輯_Audacity,Audacity 是一套功能相當完整的音訊編輯軟體，具有剪輯、複製、混音等多項音訊編輯功能,音樂編輯_Audacity,音乐编辑_Audacity,Audacity是一套功能相当完整的音讯编辑软件，具有剪辑、复制、混音等多项音讯编辑功能,音乐编辑_Audacity,AudioVideo,,,,,,Music Editor _Audacity,"Audacity is a function quite complete audio editing software with editing, copying, mixing and many other audio editing functions",Music Editor _Audacity,AudioVideo
tuxguitar.desktop,樂譜編輯_Tuxguitar,可以輸入 Midi 格式及吉他譜檔，並且還可輸出多種音樂格式，以及 PDF 格式的樂譜,樂譜編輯_Tuxguitar,乐谱编辑_Tuxguitar,可以输入Midi格式及吉他谱档，并且还可输出多种音乐格式，以及PDF格式的乐谱,乐谱编辑_Tuxguitar,AudioVideo,,,,,,Score Editor _Tuxguitar,"You can enter and format Guitar Midi files, and can also output a variety of music formats, as well as sheet music in PDF format",Score Editor _Tuxguitar,AudioVideo
lmms.desktop,音樂製作_LMMS,一款新的音樂製作軟體,音樂製作_LMMS,音乐制作_LMMS,一款新的音乐制作软件,音乐制作_LMMS,AudioVideo,,,,,,Music production _LMMS,A new music production software,Music production _LMMS,AudioVideo
hydrogen.desktop,節奏編曲_Hydrogen,非常容易上手的爵士電子鼓節奏編曲軟體,節奏編曲_Hydrogen,节奏编曲_Hydrogen,非常容易上手的爵士电子鼓节奏编曲软件,节奏编曲_Hydrogen,AudioVideo,,,,,,Rhythm arranger _Hydrogen,Very easy to use electronic drum jazz rhythm sequencer software,Rhythm arranger _Hydrogen,AudioVideo
mscore.desktop,樂譜編輯_MuseScore,專業的五線譜編輯軟體，可以讓你輕鬆地在軟體內加入音符，並且做即時的結果輸出,樂譜編輯_MuseScore,乐谱编辑_MuseScore,专业的五线谱编辑软件，可以让你轻松地在软件内加入音符，并且做即时的结果输出,乐谱编辑_MuseScore,AudioVideo,,,,,,Score Editor _MuseScore,"Professional sheet music editing software lets you easily add a note in the software, and make instant result output",Score Editor _MuseScore,AudioVideo
rosegarden.desktop,音樂製作_Rosegarden,功能非常強大的專業級音樂製作軟體,音樂製作_Rosegarden,音乐制作_Rosegarden,功能非常强大的专业级音乐制作软件,音乐制作_Rosegarden,AudioVideo,,,,,,Music production _Rosegarden,Very powerful professional-level music production software,Music production _Rosegarden,AudioVideo
winff.desktop,影音轉檔_Win_FF,多種格式的影音轉檔工具,影音轉檔_Win_FF,影音转档_Win_FF,多种格式的影音转档工具,影音转档_Win_FF,AudioVideo,,,,,,Video transcoding _Win_FF,Audio file conversion tool multiple formats,Video transcoding _Win_FF,AudioVideo
kmix.desktop,音效調整_KMix,多功能的音效調整工具,音效調整_KMix,音效调整_KMix,多功能的音效调整工具,音效调整_KMix,AudioVideo,,,,,,Sound adjustment _KMix,Multifunction sound adjustment tools,Sound adjustment _KMix,AudioVideo
qjackctl.desktop,音訊控制_QjackCtl,音訊控制與連結服務工具,音訊控制_QjackCtl,音讯控制_QjackCtl,音讯控制与连结服务工具,音讯控制_QjackCtl,AudioVideo,,,,,,Audio control _QjackCtl,Audio and control link service tool,Audio control _QjackCtl,AudioVideo
ardour.desktop,音訊整合_Ardour GTK2,功能全面的數位音訊整合工具,音訊整合_Ardour GTK2,音讯整合_ArdourGTK2,功能全面的数位音讯整合工具,音讯整合_ArdourGTK2,AudioVideo,,,,,,Audio integration _Ardour GTK2,Fully functional digital audio integration tools,Audio integration _ArdourGTK2,AudioVideo
gnome-sound-recorder.desktop,聲音錄製_gnome-sound-recorder,簡易的聲音錄製軟體,聲音錄製_gnome-sound-recorder,声音录制_gnome-sound-recorder,简易的声音录制软件,声音录制_gnome-sound-recorder,AudioVideo,,,,,,Sound recording _gnome-sound-recorder,Simple voice recording software,Sound recording _gnome-sound-recorder,AudioVideo
xvidcap.desktop,影音錄製_XVidCap,可將螢幕上的操作畫面及聲音同步錄製,影音錄製_XVidCap,影音录制_XVidCap,可将屏幕上的操作画面及声音同步录制,影音录制_XVidCap,AudioVideo,,,,,,Video Recording _XVidCap,You can operate the picture and sound on the screen simultaneously recording,Video Recording _XVidCap,AudioVideo
sound-juicer.desktop,音樂擷取_sound-juicer,可以從音樂光碟中擷取音樂的小工具,音樂擷取_sound-juicer,音乐撷取_sound-juicer,可以从音乐光盘中捕获音乐的小工具,音乐撷取_sound-juicer,AudioVideo,,,,,,Music capture _sound-juicer,You can capture music from audio CDs Gadgets,Music capture _sound-juicer,AudioVideo
qdvdauthor.desktop,光碟製作_QDVDAuthor,DVD 光碟及選單製作工具 ,光碟製作_QDVDAuthor,光盘制作_QDVDAuthor,DVD光盘及选单制作工具,光盘制作_QDVDAuthor,AudioVideo,,,,,,DVD production _QDVDAuthor,DVD disc menus and authoring tools,CD-ROM production _QDVDAuthor,AudioVideo
devede.desktop,影音轉檔_DeVeDe,能將任何格式的影片轉為 DVD 影片,影音轉檔_DeVeDe,影音转档_DeVeDe,能将任何格式的影片转为DVD影片,影音转档_DeVeDe,AudioVideo,,,,,,Video transcoding _DeVeDe,Can any format videos into DVD movies,Video transcoding _DeVeDe,AudioVideo
oggconvert.desktop,影音轉檔_OggConvert,小巧實用的多媒體影音轉換工具,影音轉檔_OggConvert,影音转档_OggConvert,小巧实用的多媒体影音转换工具,影音转档_OggConvert,AudioVideo,,,,,,Video transcoding _OggConvert,Small and practical multimedia conversion tool,Video transcoding _OggConvert,AudioVideo
furiusisomount.desktop,虛擬光碟_Furius ISO Mount,簡單好用的光碟映像檔掛載工具 ,虛擬光碟_Furius ISO Mount,虚拟光盘_FuriusISOMount,简单好用的光盘映像档挂载工具,虚拟光盘_FuriusISOMount,AudioVideo,,,,,,Virtual CDs _Furius ISO Mount,Easy to use tool to mount disc image files,Virtual CD _FuriusISOMount,AudioVideo
#網路,,,,,,,,,,,,,,,,
nixnote.desktop,筆記本_Nixnote,EverNote 的 Linux 客戶端軟體,筆記本_Nixnote,笔记本_Nixnote,EverNote的Linux客户端软件,笔记本_Nixnote,Network,,,,,,Notebook _Nixnote,EverNote Linux client software,Notebook _Nixnote,Network
nixnote2.desktop,筆記本_Nixnote,EverNote 的 Linux 客戶端軟體,筆記本_Nixnote,笔记本_Nixnote,EverNote的Linux客户端软件,笔记本_Nixnote,Network,,,,,,Notebook _Nixnote,EverNote Linux client software,Notebook _Nixnote,Network
exe.desktop,網頁設計_eXe,輔助老師們編寫網路課程的軟體,網頁設計_eXe,网页设计_eXe,辅助老师们编写网络课程的软件,网页设计_eXe,Network,,,,,,Web Design _eXe,Secondary teachers writing network software courses,Web Design _eXe,Network
quassel.desktop,IRC 通訊_Quassel,KDE 裡的 IRC 客戶端程式,IRC 通訊_Quassel,IRC通讯_Quassel,KDE里的IRC客戶端程式,IRC通讯_Quassel,Network,,,,,,IRC communication _Quassel,KDE in IRC client program,IRC communication _Quassel,Network
firefox.desktop,網頁瀏覽_Firefox,提供更有效率、更安全、更個人化的瀏覽體驗 ,網頁瀏覽_Firefox,网页浏览_Firefox,提供更有效率、更安全、更个人化的浏览体验,网页浏览_Firefox,Network,,,,,,Web browsing _Firefox,"Provide a more efficient, safer, more personalized browsing experience",Web browsing _Firefox,Network
chromium-browser.desktop,網頁瀏覽_Chromium,由 Google 開發的網頁瀏覽器,網頁瀏覽_Chromium,网页浏览_Chromium,由Google开发的网页浏览器,网页浏览_Chromium,Network,,,,,,Web browsing _Chromium,Developed by Google web browser,Web browsing _Chromium,Network
google-chrome.desktop,網頁瀏覽_Chrome,由 Google 開發的網頁瀏覽器,網頁瀏覽_Chrome,网页浏览_Chrome,由Google开发的网页浏览器,网页浏览_Chrome,Network,,,,,,Web browsing _Chrome,Developed by Google web browser,Web browsing _Chrome,Network
konqbrowser.desktop,網頁瀏覽_Konqueror,可以當檔案總管以及網頁瀏覽器的軟體,網頁瀏覽_Konqueror,网页浏览_Konqueror,可以当文件总管以及网页浏览器的软件,网页浏览_Konqueror,Network,,,,,,Web browsing _Konqueror,It can be a file explorer and Web browser software,Web browsing _Konqueror,Network
pcmanx.desktop,BBS連線_PCMan X BBS ,常用的 BBS 連線軟體,BBS連線_PCMan X BBS ,BBS连接_PCManXBBS,常用的BBS连接软件,BBS连接_PCManXBBS,Network,,,,,,BBS connection _PCMan X BBS,Popular BBS software connection,BBS connection _PCManXBBS,Network
BlueGriffon-program.desktop,網頁設計_BlueGriffon,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,網頁設計_BlueGriffon,网页设计_BlueGriffon,让您可以快速编辑简单的HTML或动态HTML网页,网页设计_BlueGriffon,Network,,,,,,Web Design _BlueGriffon,It allows you to quickly edit simple HTML or dynamic HTML pages,Web Design _BlueGriffon,Network
kompozer.desktop,網頁設計_KompoZer,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,網頁設計_KompoZer,网页设计_KompoZer,让您可以快速编辑简单的HTML或动态HTML网页,网页设计_KompoZer,Network,,,,,,Web Design _KompoZer,It allows you to quickly edit simple HTML or dynamic HTML pages,Web Design _KompoZer,Network
dropbox.desktop,雲端服務_Dropbox,可以讓你在不同電腦及行動載具間同步檔案進度的雲端軟體,雲端服務_Dropbox,云端服务_Dropbox,可以让你在不同计算机及行动载具间同步文件进度的云端软件,云端服务_Dropbox,Network,,,,,,Cloud service _Dropbox,It allows you to synchronize files between different computers and progress in the action carrier cloud software,Cloud service _Dropbox,Network
akregator.desktop,RSS閱讀器_Akregator,方便實用的 RSS 閱讀器,RSS閱讀器_Akregator,RSS阅读器_Akregator,方便实用的RSS阅读器,RSS阅读器_Akregator,Network,,,,,,RSS reader _Akregator,Convenient and practical RSS reader,RSS reader _Akregator,Network
org.kde.akregator.desktop,RSS閱讀器_Akregator,方便實用的 RSS 閱讀器,RSS閱讀器_Akregator,RSS阅读器_Akregator,方便实用的RSS阅读器,RSS阅读器_Akregator,Network,,,,,,RSS reader _Akregator,Convenient and practical RSS reader,RSS reader _Akregator,Network
ktorrent.desktop,BT下載_Ktorrent,可透過 BitTorrent 協定來下載和分享檔案 ,BT下載_Ktorrent,BT下载_Ktorrent,可通过BitTorrent协议来下载和分享文件,BT下载_Ktorrent,Network,,,,,,BT download _Ktorrent,Via BitTorrent protocol to download and share files,BT download _Ktorrent,Network
filezilla.desktop,檔案傳輸_FileZilla,Linux 下常用的 FTP 檔案傳輸工具 ,檔案傳輸_FileZilla,文件传输_FileZilla,Linux下常用的FTP文件传输工具,文件传输_FileZilla,Network,,,,,,File Transfer _FileZilla,Linux under the common FTP file transfer tool,File Transfer _FileZilla,Network
pidgin.desktop,即時通訊_Pidgin,讓您可以透過即時通訊與好友聊天，支援 AIM、Google Talk、Jabber/XMPP、MSN、Yahoo 等,即時通訊_Pidgin,即时通讯_Pidgin,让您可以通过即时通讯与好友聊天，支持AIM、GoogleTalk、Jabber/XMPP、MSN、Yahoo等,即时通讯_Pidgin,Network,,,,,,Chat _Pidgin,"So you can chat with friends through instant messaging, support for AIM, GoogleTalk, Jabber / XMPP, MSN, Yahoo, etc.",Chat _Pidgin,Network
kopete.desktop,即時通訊_Kopete,即時訊息客戶端程式,即時通訊_Kopete,即时通讯_Kopete,即时消息客户端程序,即时通讯_Kopete,Network,,,,,,Chat _Kopete,Instant messaging client,Chat _Kopete,Network
emesene.desktop,即時通訊_Emesene,一套適用於 Windows Live Messenge 的即時通訊軟體 ,即時通訊_Emesene,即时通讯_Emesene,一套适用于WindowsLiveMessenge的即时通讯软件,即时通讯_Emesene,Network,,,,,,Chat _Emesene,A suitable WindowsLiveMessenge instant messaging software,Chat _Emesene,Network
ekiga.desktop,網路電話_Ekiga,Linux 下常用的網路電話軟體,網路電話_Ekiga,网络电话_Ekiga,Linux下常用的网络电话软件,网络电话_Ekiga,Network,,,,,,VoIP _Ekiga,Linux software under the conventional telephone network,Internet telephony _Ekiga,Network
Kppp.desktop,網路連線_KPPP,數據機和網路撥號程式,網路連線_KPPP,网络连接_KPPP,调制解调器和网络拨号程序,网络连接_KPPP,Network,,,,,,Internet connection _KPPP,Modem and Network Dialer,Fi _KPPP,Network
bluedevil-monolithic.desktop,藍芽連線_BlueDevil,KDE 內建的藍芽傳輸軟體,藍芽連線_BlueDevil,蓝牙连接_BlueDevil,KDE内置的蓝芽传输软件,蓝牙连接_BlueDevil,Network,,,,,,Bluetooth connection _BlueDevil,KDE built-in Bluetooth transfer software,Bluetooth connectivity _BlueDevil,Network
extras-nitroshare.desktop,連線分享_Nitroshare,跨平台區域網路檔案分享軟體,連線分享_Nitroshare,连接分享_Nitroshare,跨平台局域网文件分享软件,连接分享_Nitroshare,Network,,,,,,Connection Sharing _Nitroshare,Cross-platform LAN file sharing software,Connection sharing _Nitroshare,Network
remmina.desktop,遠端連線_Remmina,遠端桌面的連線軟體，功能類似 TeamViewer,遠端連線_Remmina,远程连接_Remmina,远程桌面的连接软件，功能类似TeamViewer,远程连接_Remmina,Network,,,,,,Remote connections _Remmina,"Remote desktop connection software, functions like TeamViewer",Remote connection _Remmina,Network
skype.desktop,即時通訊_Skype,知名的網路語音通話軟體,即時通訊_Skype,即时通讯_Skype,知名的网络语音通话软件,即时通讯_Skype,Network,,,,,,Chat _Skype,Known Internet voice software,Chat _Skype,Network
evolution.desktop,郵件管理_Evolution,集合電子郵件，行事曆與工作排程等功能的郵件管理軟體,郵件管理_Evolution,邮件管理_Evolution,集合电子邮件，行事历与工作调度等功能的邮件管理软件,邮件管理_Evolution,Network,,,,,,Mail management _Evolution,"A collection of e-mail, calendar and scheduling functions work e-mail management software",Mail management _Evolution,Network
gftp.desktop,檔案傳輸_gFTP,FTP檔案傳輸軟體 ,檔案傳輸_gFTP,文件传输_gFTP,FTP文件传输软件,文件传输_gFTP,Network,,,,,,File Transfer _gFTP,FTP file transfer software,File Transfer _gFTP,Network
meiga.desktop,檔案分享_Meiga,透過 Meiga 可以輕易做到類似網路上的芳鄰來分享檔案,檔案分享_Meiga,文件分享_Meiga,通过Meiga可以轻易做到类似网络上的芳邻来分享文件,文件分享_Meiga,Network,,,,,,File Sharing _Meiga,It can easily be done by Meiga Neighborhood on a similar network to share files,File Sharing _Meiga,Network
pppoeconf.desktop,網路連線_pppoeconf,連線設定工具,網路連線_pppoeconf,网络连接_pppoeconf,连接设置工具,网络连接_pppoeconf,Network,,,,,,Internet connection _pppoeconf,Connection Settings tool,Fi _pppoeconf,Network
miro.desktop,網路電視_Miro,Miro 是一套內含 Mozilla 瀏覽器及VLC 播放軟體的跨平台影音播放軟體,網路電視_Miro,网络电视_Miro,Miro是一套内含Mozilla瀏覽器及VLC播放軟體的跨平台影音播放軟體,网络电视_Miro,Network,,,,,,Internet TV _Miro,Miro is an embedded Mozilla browser and cross-platform VLC software to play audio and video playback software,Web TV _Miro,Network
iptux.desktop,區域分享_iptux,區域網際網路通訊工具,區域分享_iptux,本地分享_iptux,本地国际互联网通讯工具,本地分享_iptux,Network,,,,,,Regional share _iptux,Local Internet communication tools,Local share _iptux,Network
wireshark.desktop,分析程式_Wireshark,抓網路封包必備的工具軟體,分析程式_Wireshark,分析程序_Wireshark,抓网络封包必备的工具软件,分析程序_Wireshark,Network,,,,,,Analysis program _Wireshark,Grasping an essential tool for software network packets,Analysis program _Wireshark,Network
transmission.desktop,Bt下載_Transmission,可透過 BitTorrent 協定來下載和分享檔案 ,Bt下載_Transmission,Bt下载_Transmission,可通过BitTorrent协议来下载和分享文件,Bt下载_Transmission,Network,,,,,,Bt download _Transmission,Via BitTorrent protocol to download and share files,Bt download _Transmission,Network
tsclient.desktop,終端伺服器客戶端,遠端連線程式,終端伺服器客戶端,终端服务器客户端,远程连接程序,终端服务器客户端,Network,,,,,,Terminal Server Client,Remote connection program,Terminal Server Client,Network
#,免費軟體_TeamViewer,一個方便好用的遠端電腦連線軟體,免費軟體_TeamViewer,免费软件_TeamViewer,一个方便好用的远程计算机连接软件,免费软件_TeamViewer,Network,,,,,,Freeware _TeamViewer,A computer connected to a user-friendly remote software,Freeware _TeamViewer,Network
#遊戲,,,,,,,,,,,,,,,,
blinken.desktop,記憶遊戲_Blinken,訓練記憶力的小遊戲,記憶遊戲_Blinken,记忆游戏_Blinken,训练记忆力的小游戏,记忆游戏,Game,,,,,,Memory Game _Blinken,Small memory training game,Memory Game,Game
